text,labels
"twin preterm neonates with cardiac toxicity related to lopinavir / ritonavir therapy . we report twin neonates who were born prematurely at 32 weeks of gestation to a mother with human immunodeficiency virus infection . one of the twins developed complete heart block and dilated cardiomyopathy related to lopinavir / ritonavir therapy , a boosted protease - inhibitor agent , while the other twin developed mild bradycardia . we recommend caution in the use of lopinavir / ritonavir in the immediate neonatal period .","O,O,O,O,I-DI,I-DI,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,I-DI,I-DI,O,I-DI,I-DI,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,O,O,O,O,O,O"
"granulomatous hepatitis due to combination of amoxicillin and clavulanic acid . we report the case of a patient with amoxicillin - clavulanic acid - induced hepatitis with histologic multiple granulomas . this type of lesion broadens the spectrum of liver injury due to this drug combination , mainly represented by a benign cholestatic syndrome . the association of granulomas and eosinophilia favor an immunoallergic mechanism . as penicillin derivatives and amoxicillin alone are known to induce such types of lesions , the amoxicillin component , with or without a potentiating effect of clavulanic acid , might have a major role .","I-DI,I-DI,O,O,I-CH,I-CH,I-CH,I-CH,I-CH,I-CH,O,O,O,O,O,O,O,O,O,I-CH,I-CH,I-CH,I-CH,O,O,I-DI,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,I-DI,O,I-DI,O,O,O,O,O,O,I-CH,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-CH,I-CH,O,O,O,O,O,O,O"
"posttransplant anemia : the role of sirolimus . posttransplant anemia is a common problem that may hinder patients ' quality of life . it occurs in 12 to 76 % of patients , and is most common in the immediate posttransplant period . a variety of factors have been identified that increase the risk of posttransplant anemia , of which the level of renal function is most important . sirolimus , a mammalian target of rapamycin inhibitor , has been implicated as playing a special role in posttransplant anemia . this review considers anemia associated with sirolimus , including its presentation , mechanisms , and management .","O,I-DI,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,O,O,I-CH,O,O,O,O,O,O,O,O,O,O"
"amiodarone - induced myxoedema coma . a 62 - year - old man was found to have bradycardia , hypothermia and respiratory failure 3 weeks after initiation of amiodarone therapy for atrial fibrillation . thyroid - stimulating hormone was found to be 168 uiu / ml ( nl . 0.3 - 5 uiu / ml ) and free thyroxine ( ft4 ) was < 0.2 ng / dl ( nl . 0.8 - 1.8 ng / dl ) . he received intravenous fluids , vasopressor therapy and stress dose steroids ; he was intubated and admitted to the intensive care unit . he received 500 ug of intravenous levothyroxine in the first 18 h of therapy , and 150 ug intravenous daily thereafter . haemodynamic improvement , along with complete recovery of mental status , occurred after 48 h . twelve hours after the initiation of therapy , ft4 was 0.96 ng / dl . the patient was maintained on levothyroxine 175 ( g poorally daily . a thyroid ultrasound showed diffuse heterogeneity . the 24 hour excretion of iodine was 3657 ( mcg ( 25 - 756 ( mcg ) . the only two cases of amiodarone - induced myxoedema coma in the literature report patient death despite supportive therapy and thyroid hormone replacement . this case represents the most thoroughly investigated case of amiodarone - induced myxoedema coma with a history significant for subclinical thyroid disease .","I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,I-DI,O,I-DI,I-DI,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,I-DI,I-DI,O"
"recurrent myocardial infarction in a postpartum patient receiving bromocriptine . myocardial infarction in puerperium is infrequently reported . spasm , coronary dissection , or atheromatous etiology has been described . bromocriptine has been implicated in several previous case reports of myocardial infarction in the puerperium . our case ( including an inadvertent rechallenge ) suggests such a relationship . although generally regarded as "" safe , "" possible serious cardiac effects of bromocriptine should be acknowledged .","O,I-DI,I-DI,O,O,O,O,O,I-CH,O,I-DI,I-DI,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O"
"angioedema following the intravenous administration of metoprolol . a 72 - year - old woman was admitted to the hospital with "" flash "" pulmonary edema , preceded by chest pain , requiring intubation . her medical history included coronary artery disease with previous myocardial infarctions , hypertension , and diabetes mellitus . a history of angioedema secondary to lisinopril therapy was elicited . current medications did not include angiotensin - converting enzyme inhibitors or beta - blockers . she had no previous beta - blocking drug exposure . during the first day of hospitalization ( while intubated ) , intravenous metoprolol was given , resulting in severe angioedema . the angioedema resolved after therapy with intravenous steroids and diphenhydramine hydrochloride .","I-DI,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,O,O,I-DI,I-DI,O,I-DI,O,O,I-DI,I-DI,O,O,O,O,I-DI,O,O,I-CH,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-DI,O,O,I-DI,O,O,O,O,O,I-CH,O,I-CH,O,O"
"cyclophosphamide associated bladder cancer -- a highly aggressive disease : analysis of 12 cases . purpose : we gained knowledge of the etiology , treatment and prevention of cyclophosphamide associated urothelial cancer . materials and methods : the medical records of 6 men and 6 women ( mean age 55 years ) with cyclophosphamide associated bladder cancer were reviewed . results : all tumors were grade 3 or 4 transitional cell carcinoma . of the 5 patients initially treated with endoscopic resection alone only 1 is alive without disease . of the 6 patients who underwent early cystectomy 4 were alive at 24 to 111 months . the remaining patient with extensive cancer underwent partial cystectomy for palliation and died 3 months later . conclusions : cyclophosphamide associated bladder tumor is an aggressive disease . however , long - term survival is possible when radical cystectomy is performed for bladder tumors with any sign of invasion and for recurrent high grade disease , even when noninvasive .","I-CH,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-DI,I-DI,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"heparin - induced thrombocytopenia , paradoxical thromboembolism , and other side effects of heparin therapy . although several new anticoagulant drugs are in development , heparin remains the drug of choice for most anticoagulation needs . the clinical effects of heparin are meritorious , but side effects do exist . important untoward effects of heparin therapy including heparin - induced thrombocytopenia , heparin - associated osteoporosis , eosinophilia , skin reactions , allergic reactions other than thrombocytopenia and alopecia will be discussed in this article .","I-CH,O,O,I-DI,O,O,I-DI,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-CH,O,O,I-DI,O,I-CH,O,O,I-DI,O,I-DI,O,I-DI,I-DI,O,I-DI,I-DI,O,O,I-DI,O,I-DI,O,O,O,O,O,O,O"
"longitudinal association of alcohol use with hiv disease progression and psychological health of women with hiv . we evaluated the association of alcohol consumption and depression , and their effects on hiv disease progression among women with hiv . the study included 871 women with hiv who were recruited from 1993 - 1995 in four us cities . the participants had physical examination , medical record extraction , and venipuncture , cd4 + t - cell counts determination , measurement of depression symptoms ( using the self - report center for epidemiological studies - depression scale ) , and alcohol use assessment at enrollment , and semiannually until march 2000 . multilevel random coefficient ordinal models as well as multilevel models with joint responses were used in the analysis . there was no significant association between level of alcohol use and cd4 + t - cell counts . when participants were stratified by antiretroviral therapy ( art ) use , the association between alcohol and cd4 + t - cell did not reach statistical significance . the association between alcohol consumption and depression was significant ( p<0.001 ) . depression had a significant negative effect on cd4 + t - cell counts over time regardless of art use . our findings suggest that alcohol consumption has a direct association with depression . moreover , depression is associated with hiv disease progression . our findings have implications for the provision of alcohol use interventions and psychological resources to improve the health of women with hiv .","O,O,O,I-CH,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,I-DI,O,O,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-DI,O,O,O,I-DI,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
prenatal cocaine exposure and cranial sonographic findings in preterm infants . purpose : prenatal cocaine exposure has been linked with subependymal hemorrhage and the formation of cysts that are detectable on cranial sonography in neonates born at term . we sought to determine if prenatal cocaine exposure increases the incidence of subependymal cysts in preterm infants . methods : we retrospectively reviewed the medical records and cranial sonograms obtained during a 1 - year period on 122 premature ( < 36 weeks of gestation ) infants . infants were categorized into 1 of 2 groups : those exposed to cocaine and those not exposed to cocaine . infants were assigned to the cocaine - exposed group if there was a maternal history of cocaine abuse during pregnancy or if maternal or neonatal urine toxicology results were positive at the time of delivery . results : five of the 122 infants were excluded from the study because of insufficient medical and drug histories . the incidence of subependymal cysts in the 117 remaining infants was 14 % ( 16 of 117 ) . the incidence of subependymal cysts in infants exposed to cocaine prenatally was 44 % ( 8 of 18 ) compared with 8 % ( 8 of 99 ) in the unexposed group ( p < 0.01 ) . conclusions : we found an increased incidence of subependymal cyst formation in preterm infants who were exposed to cocaine prenatally . this result is consistent with results of similar studies in term infants .,"O,I-CH,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,I-DI,O,O,O,O,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,I-DI,I-DI,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,I-DI,I-DI,I-DI,I-DI,I-DI,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,I-CH,O,O,O,O,O,I-CH,O,O,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-DI,I-DI,O,O,I-DI,I-DI,O,O,O,O,I-CH,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
